ListNo.164

Measurement condition:
Measurement(Import) date,2018/04/10 11:42:49
Sample name,AG_APR02_A_PSPQ_405nm_2hr30min
Measurement version,5.1.7.12
System type,Spectroscopy
Measurement wavelength(Lower limit)[nm],186.363
Measurement wavelength(Upper limit)[nm],818.449
Measurement mode,Real-time monitor
Data type,Absolute Reflectance
StandardReflector,Air/Si
Lens,None (NA : 0)
Sample/Reference conditions,The same condition
Samplemeasurement condition,
  Exposure time[ms],49
  Num. of Accum.,1
  Amp gain,Normal
  Correction of ambient light,It doesn't do.
Referencemeasurement condition,
  Exposure time[ms],49
  Num. of Accum.,1
  Amp gain,Normal
  Correction of ambient light,It doesn't do.

Analysis condition:

Layer structure:
Layer,Material,Parameter name,Parameter value,Free,Bind no.

Incident angle,0,0,0,0,0
Wavelength,RMeasured data,RReferenceDark,RReferenceSignal,RSampleDark,RSampleSignal
221.588,0.118180436683724,0.00488288700694286,0.0722972457465477,0.00488288700694286,0.0166933699549859
222.803,0.123198146999083,0.00485236896314946,0.0915693904020752,0.00485236896314946,0.0206912336919203
224.017,0.123432509685855,0.00495918211642634,0.114061188677806,0.00495918211642634,0.024933241779202
225.232,0.123590761157712,0.00526436255436027,0.139528496223392,0.00526436255436027,0.0299229419394217
226.447,0.125301866525585,0.00486762798504616,0.168947890440223,0.00486762798504616,0.0354924849317159
227.661,0.126862596369895,0.00503547722590982,0.203158617532616,0.00503547722590982,0.0426337071793698
228.876,0.127084722439786,0.00485236896314946,0.243472953383688,0.00485236896314946,0.0504615854123751
230.09,0.125161350869888,0.00518806744487678,0.289814602883955,0.00518806744487678,0.0591287098496986
231.305,0.123242845554205,0.00529488059815366,0.343938353551537,0.00529488059815366,0.0689555199511711
232.52,0.123391567035959,0.00462348363469902,0.40535591668574,0.00462348363469902,0.0805523765926604
233.734,0.120972792264934,0.00482185091935607,0.472968642710002,0.00482185091935607,0.09228656443122
234.949,0.11841414878938,0.00491340505073625,0.54203097581445,0.00491340505073625,0.103486686503395
236.164,0.115126977096517,0.00535591668574044,0.608896009765774,0.00535591668574044,0.113176165407797
237.378,0.11318821644722,0.00494392309452964,0.666269932097353,0.00494392309452964,0.121065079728389
238.593,0.110900920974424,0.00465400167849241,0.710399023422599,0.00465400167849241,0.125764858472572
239.808,0.10779219841014,0.00497444113832303,0.737911039902342,0.00497444113832303,0.126802471961547
241.022,0.103823456695663,0.00541695277332723,0.747890440222782,0.00541695277332723,0.123765926604105
242.237,0.100714778681604,0.00512703135729,0.741741054398413,0.00512703135729,0.118379491874571
243.452,0.0974193447889453,0.00460822461280232,0.722209506370642,0.00460822461280232,0.110704203860533
244.666,0.0936243346457352,0.00503547722590982,0.691996643015183,0.00503547722590982,0.102052338445106
245.881,0.0892306019110161,0.00518806744487678,0.657755397878996,0.00518806744487678,0.0924544136720836
247.096,0.0852977468575072,0.00526436255436027,0.624597543297475,0.00526436255436027,0.083939879453727
248.31,0.0817332517931235,0.00489814602883955,0.597329671168078,0.00489814602883955,0.0765392538338293
249.525,0.0780800098540514,0.00494392309452964,0.576882581826505,0.00494392309452964,0.070618753337911
250.739,0.0742498108692067,0.00494392309452964,0.566063935301747,0.00494392309452964,0.0658121614404517
251.954,0.0708660396175027,0.00503547722590982,0.562661173418784,0.00503547722590982,0.0623941405355917
253.169,0.0674173513538752,0.00497444113832303,0.566323338673991,0.00497444113832303,0.0595559624628061
254.383,0.0645451680376367,0.00492866407263294,0.573815518425269,0.00492866407263294,0.057602807660029
255.598,0.0616715145626178,0.0051117723353933,0.585992217898833,0.0051117723353933,0.0561837186236362
256.813,0.0599183238213818,0.00482185091935607,0.602548256656748,0.00482185091935607,0.0555886167696651
258.027,0.0569547269286702,0.00509651331349661,0.623620965896086,0.00509651331349661,0.0547493705653468
